# Emission
# Column format:
# Wavelength (nm)	Emission angle (deg)	C+ (W*m^-2*sr^-1*nm^-1)	
4.500000E2	0.000000E0	0.000000E0
4.500000E2	2.000000E0	0.000000E0
4.500000E2	4.000000E0	0.000000E0
4.500000E2	6.000000E0	0.000000E0
4.500000E2	8.000000E0	0.000000E0
4.500000E2	1.000000E1	0.000000E0
4.500000E2	1.200000E1	0.000000E0
4.500000E2	1.400000E1	0.000000E0
4.500000E2	1.600000E1	0.000000E0
4.500000E2	1.800000E1	0.000000E0
4.500000E2	2.000000E1	0.000000E0
4.500000E2	2.200000E1	0.000000E0
4.500000E2	2.400000E1	0.000000E0
4.500000E2	2.600000E1	0.000000E0
4.500000E2	2.800000E1	0.000000E0
4.500000E2	3.000000E1	0.000000E0
4.500000E2	3.200000E1	0.000000E0
4.500000E2	3.400000E1	0.000000E0
4.500000E2	3.600000E1	0.000000E0
4.500000E2	3.800000E1	0.000000E0
4.500000E2	4.000000E1	0.000000E0
4.500000E2	4.200000E1	0.000000E0
4.500000E2	4.400000E1	0.000000E0
4.500000E2	4.600000E1	0.000000E0
4.500000E2	4.800000E1	0.000000E0
4.500000E2	5.000000E1	0.000000E0
4.500000E2	5.200000E1	0.000000E0
4.500000E2	5.400000E1	0.000000E0
4.500000E2	5.600000E1	0.000000E0
4.500000E2	5.800000E1	0.000000E0
4.500000E2	6.000000E1	0.000000E0
4.500000E2	6.200000E1	0.000000E0
4.500000E2	6.400000E1	0.000000E0
4.500000E2	6.600000E1	0.000000E0
4.500000E2	6.800000E1	0.000000E0
4.500000E2	7.000000E1	0.000000E0
4.500000E2	7.200000E1	0.000000E0
4.500000E2	7.400000E1	0.000000E0
4.500000E2	7.600000E1	0.000000E0
4.500000E2	7.800000E1	0.000000E0
4.500000E2	8.000000E1	0.000000E0
4.520000E2	0.000000E0	2.513755E-6
4.520000E2	2.000000E0	2.510522E-6
4.520000E2	4.000000E0	2.500850E-6
4.520000E2	6.000000E0	2.484825E-6
4.520000E2	8.000000E0	2.462584E-6
4.520000E2	1.000000E1	2.434321E-6
4.520000E2	1.200000E1	2.400275E-6
4.520000E2	1.400000E1	2.360732E-6
4.520000E2	1.600000E1	2.316015E-6
4.520000E2	1.800000E1	2.266486E-6
4.520000E2	2.000000E1	2.212534E-6
4.520000E2	2.200000E1	2.154577E-6
4.520000E2	2.400000E1	2.093066E-6
4.520000E2	2.600000E1	2.028501E-6
4.520000E2	2.800000E1	1.961481E-6
4.520000E2	3.000000E1	1.892816E-6
4.520000E2	3.200000E1	1.823822E-6
4.520000E2	3.400000E1	1.757095E-6
4.520000E2	3.600000E1	1.698920E-6
4.520000E2	3.800000E1	1.669005E-6
4.520000E2	4.000000E1	1.769748E-6
4.520000E2	4.200000E1	2.079349E-6
4.520000E2	4.400000E1	1.535937E-6
4.520000E2	4.600000E1	1.371490E-6
4.520000E2	4.800000E1	1.312875E-6
4.520000E2	5.000000E1	1.294899E-6
4.520000E2	5.200000E1	1.294578E-6
