# Radiance [W*m^-2*sr^-1]
# Column format:
# Emission angle (deg)	Rad	Rad.s	Rad.p	
0.000000E0	7.269554E-1	4.533594E-1	1.000000E0
2.000000E0	7.265423E-1	4.533815E-1	9.988146E-1
4.000000E0	7.253067E-1	4.534499E-1	9.952646E-1
6.000000E0	7.232608E-1	4.535708E-1	9.893693E-1
8.000000E0	7.204245E-1	4.537551E-1	9.811592E-1
1.000000E1	7.168254E-1	4.540190E-1	9.706754E-1
1.200000E1	7.124994E-1	4.543846E-1	9.579672E-1
1.400000E1	7.074902E-1	4.548817E-1	9.430895E-1
1.600000E1	7.018501E-1	4.555496E-1	9.260994E-1
1.800000E1	6.956407E-1	4.564397E-1	9.070528E-1
2.000000E1	6.889346E-1	4.576199E-1	8.859993E-1
2.200000E1	6.818181E-1	4.591809E-1	8.629777E-1
2.400000E1	6.743975E-1	4.612445E-1	8.380101E-1
2.600000E1	6.668081E-1	4.639795E-1	8.110973E-1
2.800000E1	6.592327E-1	4.676247E-1	7.822154E-1
3.000000E1	6.519375E-1	4.725321E-1	7.513203E-1
3.200000E1	6.453460E-1	4.792465E-1	7.183755E-1
3.400000E1	6.402117E-1	4.886724E-1	6.834589E-1
3.600000E1	6.380901E-1	5.024770E-1	6.471725E-1
3.800000E1	6.430045E-1	5.243062E-1	6.125430E-1
4.000000E1	6.712685E-1	5.655174E-1	5.994012E-1
4.200000E1	8.390267E-1	7.569637E-1	6.386537E-1
4.400000E1	8.229661E-1	8.280377E-1	4.376960E-1
4.600000E1	8.579910E-1	8.684064E-1	4.450130E-1
4.800000E1	8.936472E-1	8.985393E-1	4.766445E-1
5.000000E1	9.242484E-1	9.227497E-1	5.074323E-1
5.200000E1	9.492556E-1	9.427619E-1	5.320903E-1
5.400000E1	9.689739E-1	9.594101E-1	5.496174E-1
5.600000E1	9.837507E-1	9.731150E-1	5.600416E-1
5.800000E1	9.938131E-1	9.840622E-1	5.635784E-1
6.000000E1	9.992460E-1	9.922787E-1	5.604018E-1
6.200000E1	1.000000E0	9.976643E-1	5.505969E-1
6.400000E1	9.959023E-1	1.000000E0	5.341713E-1
6.600000E1	9.866626E-1	9.989391E-1	5.110912E-1
6.800000E1	9.718737E-1	9.939844E-1	4.813328E-1
7.000000E1	9.510036E-1	9.844477E-1	4.449507E-1
7.200000E1	9.233778E-1	9.693875E-1	4.021657E-1
7.400000E1	8.881442E-1	9.475142E-1	3.534783E-1
7.600000E1	8.442085E-1	9.170456E-1	2.998086E-1
7.800000E1	7.901124E-1	8.754834E-1	2.426554E-1
8.000000E1	7.238050E-1	8.192569E-1	1.842523E-1
